fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2017-03-01,1014A,SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,4,"12,8","0,0","5,2",03:45,"20,3",14:05,21,"2,8","10,8",Varias,"9,1","1019,0",Varias,"1014,9",15
2017-03-01,7031X,SAN JAVIER AEROPUERTO,MURCIA,4,"14,2","0,0","9,0",06:41,"19,4",12:32,13,"2,8","6,7",16:09,"10,9","1021,6",Varias,"1018,4",00
2017-03-01,7209,LORCA,MURCIA,312,"13,4","0,0","7,0",06:40,"19,9",14:00,32,"0,8","9,4",00:50,,,,,
2017-03-01,3519X,PLASENCIA,CACERES,415,"11,3","0,0","6,1",07:00,"16,5",16:00,24,"1,7","5,8",16:10,,,,,
2017-03-01,2755X,BENAVENTE,ZAMORA,715,"8,0","0,0","2,6",05:50,"13,4",12:50,22,"3,6","11,7",11:40,"3,6","937,1",22,"935,1",04
2017-03-01,8175,ALBACETE BASE AÉREA,ALBACETE,702,"9,3","0,0","3,2",06:15,"15,4",16:10,24,"1,1","5,3",00:08,"6,8","940,2",11,"937,5",16
2017-03-01,9244X,SOS DEL REY CATÓLICO,ZARAGOZA,626,"9,2","0,0","1,5",03:00,"16,9",15:20,15,"1,1","6,4",16:10,,,,,
2017-03-01,6277B,ADRA,ALMERIA,8,"15,7",,"12,9",06:30,"18,5",15:40,88,"1,1","7,5",06:30,,"1022,6",Varias,"1018,1",00
2017-03-01,9170,LOGROÑO AEROPUERTO,LA RIOJA,353,"9,0","0,0","0,7",06:21,"17,2",16:05,16,"2,2","7,2",18:17,"10,2","977,5",Varias,"974,2",15
2017-03-01,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,"18,5","0,0","16,8",04:40,"20,2",Varias,06,"1,4","7,2",00:40,,"1011,0",11,"1008,2",05
2017-03-01,9111,BELORADO,BURGOS,820,"8,2","0,0","3,9",,"12,5",16:00,27,"3,3","13,1",10:10,,,,,
2017-03-01,7031,SAN JAVIER AEROPUERTO,MURCIA,4,"13,0","0,0","8,5",,"17,6",,,,,,,,,,
2017-03-01,5181D,ARROYO DEL OJANCO,JAEN,580,"12,1","0,0","5,2",07:00,"19,0",16:00,27,"0,0","5,8",14:50,,"946,3",11,"943,9",06
